adecuado	adequate, suitable
amplio	wide, ample, broad
cercano	near
concreto	concrete, real
conocido	known, well-known
corriente	current, flow 
corto	short, brief
cuarto	room, chamber 
dado	given
debido debido a 		due to
definitivo	definitive, conclusive
determinado	determined, fixed
diario	newspaper 
dispuesto	willing, ready
diverso	different, several, diverse
duro	hard 
enfermo	ill, sick
entero	entire, whole, complete
exacto	exact, faithful, true
extraño	strange, foreign
extraordinario	extraordinary, exceptional
familiar	familiar, of the family 
grave	serious, solemn
inmediato	immediate
interno	internal
justo	just 
lleno	full, filled 
mas	but, however
parecido	similar [also similar]
plano	plane, map, level 
pleno	complete, fulfilled 
preciso	precise, necessary
presente	present 
raro	strange, rare, scarce
sencillo	simple, plain, easy
serio	serious
supuesto ; por supuesto		supposed: of course		
unido	united
abajo	down, below, downward
adelante	forward, further
alrededor	about, around, round 
apenas	hardly, barely
arriba	up above
aun	even, still
completamente	completely
debajo	underneath, below
delante	in front of, ahead
detrás	in the back
inmediatamente	immediately
jamás	never
recién	recently, just
salvo	except for, but
seguramente	surely, securely
siquiera	even if
totalmente	totally, completely
modelo	model, pattern
actitud	attitude
altura	height, altitude
autoridad	authority
boca	mouth, entrance, opening
calidad	quality
capacidad	capacity
carta	letter, playing card
ciencia	science, knowledge
compañía	company
comunicación	communication
conciencia	conscience, consciousness
confianza	confidence, trust
costumbre	habit, custom, usage
defensa	defense, plea
dificultad	difficulty, obstacle
dirección	direction, address
distancia	distance
elección	election, choice
empresa	firm, company, venture
energía	energy, power
enfermedad	illness, sickness
esperanza	hope
etapa	stage, period
existencia	existence, life
fecha	date, day
formación	formation, education
frase	phrase
fuente	source, fountain
hoja	sheet, leaf
lucha	fight, struggle, wrestle
madera	wood
máquina	machine
marcha	march, progress
masa	mass, dough, bulk, crowd
materia	matter, subject
mayoría	majority
mente	mind
mitad	half, middle
naturaleza	nature
noticia	news
oportunidad	opportunity, chance
pared	interior wall
pareja	couple, pair
paz	peace
pena	trouble 
piedra	stone, rock
piel	skin, hide, fur
pieza	piece, part
planta	plant, floor
población	population
política	politics, policy
posición	position
práctica	practice, skill
preocupación	worry, concern
presencia	presence, appearance
presión	pressure
propiedad	property
prueba	proof, trial, test
reunión	meeting, reunion
revista	magazine, journal
sala	room, hall
salida	exit, escape, outcome
salud	health
sangre	blood
santa	saint 
seguridad	security, safety
serie	series
solución	solution, answer
suerte	luck, fortune
tarea	task, job
teoría	theory
tradición	tradition
vía	road, way
visión	vision
visita	visit, visitor, guest
voluntad	will, willpower, intention
vuelta	return, turn
alma	soul
arma	weapon
acto	act, action
alumno	student, pupil
ambiente	environment, atmosphere
andar	to walk
apoyo	support, backing
artículo	article, product, item
asunto	matter, issue, affair
banco	financial bank, bench
bien	goods, property, benefit 
brazo	arm
caballo	horse
calor	heat, warmth
carácter	personality, nature
cargo	position, charge, fee
cielo	sky, heaven, ceiling
compañero	companion, classmate
conjunto	group, set
corazón	heart, core
cuadro	painting, picture
cuarto	fourth 
cuidado	care, carefulness
dato	data, fact
derecho	right, straight 
desarrollo	development
deseo	desire, wish
destino	destination, destiny
detalle	detail
diario, cotidiano	daily
dolor	pain, ache, sorrow
encuentro	meeting, game, skirmish
equipo	team, equipment, outfit
espíritu	spirit, ghost
estilo	style
éxito	success
fenómeno	phenomenon
golpe	hit, strike, punch
grado	degree, grade
gusto	pleasure, taste, preference
hogar	home, hearth
juicio	judgment
lenguaje	language, speech
límite	limit
metro	meter , subway
miembro	member, limb
motivo	motive, cause, motif
norte	north
origen	origin, cause
oro	gold
peligro	danger, menace
pensamiento	thought, thinking
personaje	character
piso	floor, story
precio	price, cost, value
